Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.72817924,-0.604785919,9.695118904,-2.897109985
4.738204917,0.826720238,10.27956581,-3.950550079
4.748230646,0.640080035,9.800403595,-4.295116425
4.758256115,-0.006580262,9.958329201,-3.595814228
4.768281844,-0.547358155,9.757332802,-2.911466837
4.778307521,-0.782453001,9.302696228,-3.433102369
4.788333042,-1.036092162,9.42712307,-3.734597921
4.798358823,-1.452443361,9.417551994,-3.777668715
4.808384344,-1.82632184,9.096913338,-3.988835335
4.818410855,-2.209173441,9.211769104,-4.319045067
4.828436375,-2.730808735,9.63290596,-3.337389469
4.838462261,-3.157329559,9.580264091,-2.733799934
4.848488042,-2.999403238,9.656833649,-3.102892876
4.858513355,-2.582453728,9.991828918,-3.974478483
4.868538615,-2.38624239,10.21735287,-3.753740549
4.878564032,-2.424527645,9.972686768,-3.758526087
4.888589344,-2.582453728,9.695118904,-4.299902439
4.898615177,-2.687737942,10.1832552,-4.228117466
4.908640802,-2.754737139,10.47577763,-3.955335855
4.918666219,-2.553740025,10.43749237,-3.294318676
4.92869148,-2.099103689,10.56670475,-3.447459221
4.938717105,-1.514656782,10.71984577,-3.643670797
4.948743042,-0.902094126,10.77727318,-3.423531055
4.958767938,-0.509073019,10.73420238,-3.366103172
4.968793719,-0.499501735,10.65284634,-3.528815269
4.97881898,-0.710668325,10.71027374,-3.62452817
4.98884523,-0.988235772,11.00219822,-3.61017108
4.998871271,-1.165304661,11.67278671,-3.993621111
5.008896948,-1.069591761,13.2717905,-5.434698582
5.01892325,-0.518644333,14.07637787,-6.478567123
5.028948771,0.213559419,13.16172123,-4.161118507
5.038974396,1.765304923,12.64965725,-4.993820667
5.04900023,3.321237803,13.3770752,-5.348556995
5.059026011,4.235894203,13.3770752,-4.634897232
5.069051688,4.594817638,12.79801178,-4.429114819
5.079077209,4.709673405,12.64487171,-5.157131195
5.089103355,5.255835056,12.14656639,-5.204987526
5.099128823,6.065207005,11.17926693,-6.095117569
5.109153875,6.457630157,10.2652092,-6.507281303
5.119179292,5.480760098,9.168698311,-5.860620975
5.129204813,3.311666489,8.498109818,-6.646064758
5.13923049,1.453639746,9.240483284,-4.371686935
5.149256219,-0.542572558,10.25085258,0.795015335
5.159282469,-3.803391695,9.786046028,2.106880426
5.169308511,-8.476573944,8.991030693,-0.67537421
5.179334032,-12.9009037,9.0921278,-6.042475224
5.189359657,-15.28594971,9.929615974,-10.00738239
5.199385021,-13.83948803,9.963115692,-8.225926399
5.20941075,-9.094520569,8.450253487,-4.065405846
5.219436792,-4.612763882,6.577869415,-2.499303341
5.229462469,-2.572882652,5.524429321,-1.579861164
5.239488198,-3.10947299,5.127220631,-0.656231582
5.24951398,-4.603192329,4.763511658,-0.929013371
5.259539761,-5.618347645,4.763511658,-1.786242127
5.269565646,-5.733202934,4.926223755,-2.188236237
5.279591167,-5.216353416,4.715655327,-1.944168448
5.289616011,-4.660620213,4.250849247,-2.087737799
5.299641115,-4.186841488,3.820141315,-2.551945448
5.309666636,-4.028316975,3.489931822,-1.724028707
5.319692625,-4.426123619,3.537788391,-1.086939692
5.32971799,-4.928616524,4.29392004,-1.311864972
